Station_index,index_start,index_end
0,0,2368289
1,2368290,4856609
2,4856610,8309083
3,8309084,10953765
4,10953766,12608556
5,12608557,15309271
6,15309272,18229356
7,18229357,21074971
8,21074972,24391614
9,24391615,26903215
10,26903216,29458393
11,29458394,32396604
12,32396605,35738625
13,35738626,38703834
14,38703835,41251872
15,41251873,43617719
16,43617720,46286094
17,46286095,49354415
18,49354416,52210232
19,52210233,55279893
20,55279894,57907056
21,57907057,60599541
22,60599542,62818317
23,62818318,65913689
24,65913690,69060200
25,69060201,71466439
26,71466440,74324805
27,74324806,77161625
28,77161626,79402188
29,79402189,81673237
30,81673238,83645061
37,93562963,95226972
38,95226973,97153354
39,97153355,99348036
40,99348037,102395589
41,102395590,104568398
42,104568399,106424116
44,107467782,109487940
45,109487941,111099983
46,111099984,113258993
57,140543796,143275609
58,143275610,145192546
59,145192547,147703052
60,147703053,150420388
61,150420389,154553315
62,154553316,157370241
63,157370242,160422334
64,160422335,163585348
65,163585349,166606728
66,166606729,168908357
